Datetime,Batterie (V),Rayonnement global (j/cm²),Température (°C),ETo (mm),Humidité relative (%),Précipitation (mm),Vitesse du vent (km/h),Direction du vent (°),tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,cloudcover,solarradiation,solarenergy,uvindex,conditions
2012-06-22,6.76,2728.52,35.1,7.43,13.16,0,12.88,166.57,41.8,23.7,33.3,37.7,23.7,31.1,-0.2,15.1,0,0,0,30.6,253.5,0,360.4,31.1,10,Clear
2012-06-23,6.76,1778.98,35.54,6.64,12.12,0,24.33,125.53,43.9,26.7,35.2,43.9,26.1,33,-1.2,11.2,0,0,0,25.6,128.5,4.8,321.3,27.7,10,Clear
2012-06-24,6.73,1402.39,34.72,6.21,16.95,0,18.74,153.65,40,25.8,33.7,36.9,25.8,31.5,2.5,14.6,0,0,0,19.8,122.7,46.6,234.4,20.2,8,Partially cloudy
2012-06-25,6.76,1907.94,36.3,6.36,13.1,0,18.84,154.63,43.4,29.1,36.3,43.4,27.5,33.9,4.4,14.6,0,0,0,24.1,136.4,60.8,290.6,25.2,10,Partially cloudy
2012-06-26,6.76,2204.78,37.07,7.34,13.08,0.2,18.36,181.03,42.3,28.2,35.8,39.4,26.8,33.5,5.2,15.5,0,0,0,24.5,118.8,68.9,229.4,19.9,7,Partially cloudy
2012-06-27,6.76,2127.08,36.21,6.92,14.79,0,22.71,190,44.4,27.9,36.3,44.4,27.3,34.8,6.4,19.5,0.7,100,25,37.4,142.5,26.6,312,26.9,10,"Rain, Partially cloudy"
2012-06-28,6.73,2364.21,36.71,6.83,12.63,0,15.03,208.67,42.9,28.8,36,40.2,27.5,33.9,7.6,18.6,0,0,0,19.8,105.6,21.7,322.8,27.9,10,Partially cloudy
2012-06-29,6.74,2686.13,37.54,8.85,10.4,0,17.11,209.23,43.7,29.1,36.3,43.7,27.8,34.3,5.9,17.1,0,0,0,32.8,132.4,29,323.5,27.8,10,Partially cloudy
2012-06-30,6.77,1278.8,35.73,5.77,13.73,0,19.51,211.78,42.2,28.7,35.4,39.5,27.6,33.3,7.2,18.7,0.1,100,4.17,31.3,179.6,16.8,315.5,27.2,10,Rain
2012-07-01,6.75,2771.32,36.74,8.66,11.28,0,15.46,193.04,43.3,27.8,35.3,39.6,26.7,32.8,2.9,14.6,0,0,0,31.3,285.4,11.3,340.6,29.3,10,Clear
2012-07-02,6.75,2547.08,36.63,7.41,10.11,0,13.19,168.03,43.3,27.9,35.3,39.6,26.6,32.8,2.1,13.2,0,0,0,21.2,206.3,12.4,312.3,26.8,10,Clear
2012-07-03,6.76,2540.55,38.03,7.73,8.85,0,12.74,169.31,44,28.4,36.5,44,26.9,34.3,0.2,11.1,0,0,0,22.3,123.5,19.9,315.7,27.2,10,Clear
2012-07-04,6.75,2522.03,38.08,7.11,9.26,0,11.42,175.88,43.7,30.4,36.9,43.7,28.4,34.4,1.2,11.4,0,0,0,14,197.3,18.9,325.7,28,10,Clear
2012-07-05,6.74,2732.14,38.23,7.64,9.76,0,10.88,171.84,43.9,28.5,36.4,43.9,27.1,34.1,2.2,13.2,0,0,0,15.1,196.4,10.8,322.3,27.8,10,Clear
2012-07-06,6.76,2564.62,37.91,7.41,10.32,0,11.66,134.4,43.3,26.9,35.5,39.3,26,32.9,0.8,12.3,0,0,0,15.8,154.3,1.2,329.7,28.4,10,Clear
2012-07-07,6.76,2056.9,35.07,5.7,21.55,3.2,19.18,154.25,42.2,28.4,35.4,39.8,27.1,33.3,6.3,17.3,0,0,0,26.6,193.9,12.3,283.9,24.4,9,Clear
2012-07-08,6.81,2449.37,34.64,6.91,24.84,0.5,23.38,191.53,43.2,28.6,35.7,40.2,27.6,33.6,7.9,19.7,0,0,0,27,163.8,11.1,307.7,26.4,10,Clear
2012-07-09,6.77,2459.84,37.11,7.84,13.84,0,15.35,201.66,44.1,28.9,36.7,44.1,27.6,34.9,6.6,17.4,0,0,0,20.9,257.6,8.8,325.9,28,10,Clear
2012-07-10,6.75,1691.48,37.59,6.49,13.46,0,14.42,202.28,40.5,29.9,35.2,38,28.2,33,6.3,17.2,0,0,0,29.9,232.4,36.1,240,20.6,7,Partially cloudy
2012-07-11,6.75,2568.12,38.83,7.46,10.3,0,17.15,151.59,45.4,29.4,37.1,45.4,27.8,35.3,1.7,12.8,0,0,0,24.1,171.8,3.3,328.7,28.5,10,Clear
2012-07-12,6.75,2236.24,39.7,7.13,10.3,0,29.14,125.44,45.3,29.1,37.1,45.3,27.4,35.2,0.9,10.7,0,0,0,20.2,99.4,7.6,321.1,27.5,10,Clear
2012-07-13,6.75,2818.68,38.55,8.63,7.43,0,23.27,91.91,44.2,27.1,35.9,44.2,26.1,33.7,-1.8,10.2,0,0,0,26.3,89.4,0.9,351.9,30.4,10,Clear
2012-07-14,6.72,2688.88,36.84,6.92,8.17,0,16.53,150.48,44.2,26.4,36,44.2,25.8,34,-4.1,8.3,0,0,0,19.4,87.9,0,343.3,29.7,10,Clear
2012-07-15,6.69,2472.29,36.68,6.41,8.18,0,14.06,120.69,45,27.3,36.9,45,26.1,34.9,-3.8,7.8,0,0,0,23.4,104,0.2,339.4,29.3,10,Clear
2012-07-16,6.71,2350.36,38.26,6.44,8.19,0,14.33,146.56,45.7,28.5,37.5,45.7,26.9,35.5,-1.3,8.9,0,0,0,31,72,28.1,319.5,27.6,10,Partially cloudy
2012-07-17,6.69,2544.02,39.57,7.42,9.31,0,17.86,151.94,44.5,30,37.5,44.5,28.2,35.4,2.2,11.7,0,0,0,33.1,59.7,13.7,310.9,26.7,10,Clear
2012-07-18,6.68,2542.11,38.83,8.5,10.91,0,25.18,179.07,42.6,30.6,36.2,39.7,28.8,34,7,17.5,0,0,0,33.8,111.6,65.4,236,20.3,7,Partially cloudy
2012-07-19,6.7,2543.73,38.03,6.96,11.5,0,13,172.11,45.2,29.6,37.5,45.2,28.1,35.7,4.7,15.2,0,0,0,28.4,165.7,42.8,311.6,26.9,10,Partially cloudy
2012-07-20,6.7,2038.99,38.31,6.58,9.67,0.1,15.64,182.06,44,29.7,36.9,44,27.9,34.7,1.3,10.8,0,0,0,22.3,129.4,24.8,297.7,26.6,10,Partially cloudy
2012-07-21,6.68,1856.97,37.57,6.52,11.97,0,16.72,215.5,43.1,31,36.1,40.5,29.4,33.9,7.4,18.1,0,0,0,42.5,110,27,284.7,24.6,9,Partially cloudy
2012-07-22,6.75,2335.49,38.73,7.52,10.23,0,20.67,211.32,44.4,29.4,37,44.4,27.8,34.9,2.8,13.3,0,0,0,28.1,188.7,17.4,312,26.9,9,Clear
2012-07-23,6.76,2681.41,37.81,10.76,7.1,0,21.19,233.93,44,29.2,36.2,44,27.5,33.9,-1.6,9.7,0,0,0,36.4,336.5,0,347,30.1,10,Clear
2012-07-24,6.81,2757.44,35.79,10.89,8.06,0,19.79,227.71,40.9,26.5,33.3,37.1,25.9,31.1,0.7,14.2,0,0,0,34.2,322.1,0,353,30.4,10,Clear
2012-07-25,6.81,2884.89,31.94,9.21,13.22,0,17.29,236.25,38.1,21.7,29.3,34.9,21.7,27.9,3,22.8,0,0,0,30.6,310.7,0,363.3,31.5,10,Clear
2012-07-26,6.81,2868.9,30.59,9.28,21.85,0,21.4,214.73,38.1,18.8,27.7,34.8,18.8,26.4,3.9,30.4,0,0,0,36.4,307.5,0.3,367.9,31.7,10,Clear
2012-07-27,6.81,2801.04,30.82,9.15,20.88,0,18.78,214.71,37.8,18.9,27.6,34.7,18.9,26.4,6.8,33.3,0,0,0,36,317.2,0.3,362.9,31.4,10,Clear
2012-07-28,6.79,2822.87,31.64,7.76,20.59,0,17.4,175.61,39.5,20.5,30,36.1,20.5,28.5,5.1,27.2,0,0,0,29.2,287.9,0.2,362.5,31.3,10,Clear
2012-07-29,6.78,2584.31,33.32,6.02,14.61,0,8.83,129.28,42.6,23.3,33,38.8,23.3,31,3.4,19.8,0,0,0,19.4,217.9,0.1,331.3,28.7,10,Clear
2012-07-30,6.76,2519.73,37.99,7.9,8.45,0,13.51,128.1,45.2,27.8,36.2,45.2,26.5,34.4,0.2,11.4,0,0,0,27.4,116.5,0.6,324.9,28,10,Clear
2012-07-31,6.76,2585.4,37.59,8.15,8.21,0,15.83,109.49,43.6,26.3,34.9,43.6,26,32.7,-3.1,9.2,0,0,0,35.3,85,0,329.7,28.6,10,Clear
2012-08-01,6.73,2000.53,39.35,7.22,6.71,0,18.95,81.91,44.6,26.3,35.2,44.6,26,33.5,-2.1,9.6,0,0,0,33.1,98.7,1.5,297.8,25.7,9,Clear
2012-08-02,6.68,2335.08,37.74,5.92,9.38,0,11.87,120.94,45.1,28,36.7,45.1,26.6,34.8,-0.6,10,0,0,0,17.3,106.7,23.4,295.5,25.3,10,Partially cloudy
2012-08-03,6.64,2397,37.03,5.75,9.85,0,11.63,127.05,44.8,28.8,37.3,44.8,27.2,35.1,-0.6,9.5,0,0,0,21.2,85.4,16.8,313.5,26.9,9,Clear
2012-08-04,6.69,2374.32,39.21,7.69,8.86,0,14.95,188.73,44.5,28.9,36.7,44.5,27.4,34.8,3.5,13.6,0,0,0,32.8,169.2,14.3,307.6,26.6,10,Clear
2012-08-05,6.76,2494.68,38.06,10.37,7.67,0,21.61,237.6,43.7,29.5,36,43.7,27.7,33.5,-1.1,10.1,0,0,0,36,325.6,11.5,314.1,27.2,10,Clear
2012-08-06,6.77,2624.15,35.92,8.12,8.34,0,18.8,186.53,43.4,24.6,33.8,43.4,24.6,31.6,-1.4,12.2,0,0,0,29.2,299.5,3.1,331.7,28.6,10,Clear
2012-08-07,6.77,2240.69,35.35,5.3,9.72,0,9.7,136.79,44,26.3,35.4,44,25.9,33.5,-0.2,11.3,0,0,0,22,274.3,12.7,304.3,26.3,10,Clear
2012-08-08,6.79,2074.04,37.21,7.75,8.13,0,18.53,121.09,43.6,30.1,35.9,43.6,28.2,33.3,-0.8,11.1,0,0,0,30.6,75.7,26.2,304.1,26.4,10,Partially cloudy
2012-08-09,6.77,2302.39,35.5,7.65,9.55,0,21.03,113.44,42.2,27.2,34.5,38.2,26.1,31.9,-1.6,10.4,0,0,0,40,77.8,0.1,327.1,28.4,10,Clear
2012-08-10,6.71,2027.06,36.37,6.75,9.62,0,17.83,113.69,42.3,28.5,34.9,38.9,27,32.4,1.2,12.4,0,0,0,32,82.8,1.8,314.6,27.2,10,Clear
2012-08-11,6.77,2509.02,35.32,6.06,10.83,0,10.63,147.13,43.2,27,35.3,39.3,26,32.6,-0.1,11.2,0,0,0,25.9,79.7,1.8,319,27.3,10,Clear
2012-08-12,6.67,2255.54,36.71,6.43,11.89,0.1,16.39,162.62,43.7,27.6,35.9,43.7,26.5,33.7,3.2,13.8,0,0,0,16.2,79.5,30.7,306.3,26.5,10,Partially cloudy
2012-08-13,6.71,2316.15,36.96,7.41,11.1,0,12.9,207.96,43.4,28.4,36.2,43.4,27.2,33.8,4.2,14.8,0,0,0,24.8,160.2,23.9,315.3,27.3,10,Partially cloudy
2012-08-14,6.74,2399.37,37.06,8.53,8.93,0,20.06,196.11,43.3,27.9,35.8,39.1,26.7,33,1,12.3,0,0,0,31.3,253.6,26.4,297.3,25.7,10,Partially cloudy
2012-08-15,6.76,2530.1,36.98,8.19,9.84,0,14.6,190.09,43.6,27.7,35.7,43.6,26.5,33.5,0.1,11.5,0,0,0,28.4,253.6,19,307.8,26.7,10,Clear
2012-08-16,6.76,2419.2,36.97,7.68,8.87,0,13.25,181.86,43.5,27.5,35.1,43.5,26.3,32.6,-2.1,10.7,0,0,0,18.7,157.9,2,312.7,27.1,10,Clear
2012-08-17,6.76,1934.73,35.1,5.99,17.28,1,16.16,106.69,40.8,26.3,33.5,39.9,26.3,32.6,11.2,26.9,0,0,0,24.8,138.3,17.3,266,22.9,9,Clear
2012-08-18,6.81,1241.74,29.49,4.5,39.84,4.7,23.99,223.59,39.2,28.3,33.7,38,28.1,32.8,12.8,29.7,1,100,20.83,21.2,131.3,52,244.8,21.1,8,"Rain, Partially cloudy"
2012-08-19,6.78,1990.02,34.58,6.32,18.71,0,15.93,189.12,41.5,29,34.7,38.5,28.1,32.7,7.4,20.7,0,0,0,15.8,212.4,47.4,247.7,21.5,8,Partially cloudy
2012-08-20,6.74,2483.03,36.75,6.64,12.79,0,11.84,129.31,42.9,28.6,35.3,39.5,27.3,32.9,4.2,15.6,0,0,0,28.4,79.8,25.6,318.6,26.3,9,Partially cloudy
2012-08-21,6.74,2294.73,35.04,6.27,18.55,2.7,19.85,161.46,42.9,28.7,35.8,40.2,27.4,33.7,6.6,17.3,0,0,0,20.2,107.9,14.3,296.2,25.5,10,Clear
2012-08-22,6.78,2136.4,34.67,7.3,19.5,0,17.48,209.37,42.4,29.6,35.7,39.6,28.2,33.5,6.8,17.9,0,0,0,27,57.8,16.5,304.3,26.3,9,Clear
2012-08-23,6.74,1712.46,33.89,5.8,18.73,0,15.37,193.96,38.4,28.8,33.6,36,27.6,31.6,6.8,19.7,0,0,0,25.6,68.9,65.7,192.8,16.5,7,Partially cloudy
2012-08-24,6.76,2209.59,34.48,6.07,17.36,0,11.18,178.21,41.5,26.6,34.1,38.8,26.3,32.2,6.8,19.6,0,0,0,16.2,158.7,2.8,304.2,26.4,10,Clear
2012-08-25,6.75,1923.39,34.28,5.65,19.05,0,13.85,165.7,42.7,26.7,34.8,40,26.7,33,8.5,21.9,0,0,0,18,141,14.3,301.4,26.1,10,Clear
2012-08-26,6.71,2362.31,35.83,7.01,16.26,0,13.78,199.4,43.7,27.8,36,43.7,27.1,34.2,7.2,19.3,0,0,0,22.7,271.6,10.2,307,26.6,10,Clear
2012-08-27,6.75,2161.78,35.59,7.33,16.05,0,23.87,211,43.2,29.6,36.4,39.9,27.9,33.9,4.4,14.4,0,0,0,21.2,272.6,20.3,292.6,25.4,9,Partially cloudy
2012-08-28,6.74,2246.46,35.18,6.92,16.35,0,17.47,200.09,42.3,28.4,35.2,39.5,27.5,33.2,7.8,19.8,0,0,0,19.1,162.9,10,307.6,26.6,10,Clear
2012-08-29,6.75,2433.06,36.2,7.38,14.71,0,16.36,192.27,42.8,29,35.9,39.5,27.6,33.4,5.3,16.3,0,0,0,23,129.3,10.3,295.7,25.4,10,Clear
2012-08-30,6.73,2361.22,35.2,6.78,16.65,0,19.12,153.2,41.6,28.3,34.9,38.8,26.9,32.6,4.5,15.4,0,0,0,19.8,111.2,19.9,279.6,24,9,Clear
2012-08-31,6.76,2009.67,34.51,5.93,17.08,0,23.29,190.34,41.2,27.2,34.2,38.2,26.5,32.1,5.5,17.8,0,0,0,20.2,134.1,9.7,296.3,25.5,10,Clear
2012-09-01,6.77,2479.87,35.72,7.48,12.47,0,13.81,202.17,42,27,34.5,38.8,26.1,32.3,3.4,15,0,0,0,25.9,201,5.9,297.9,25.7,10,Clear
2012-09-02,6.74,2136.56,36.27,7.8,11.74,0,19.74,216.31,43.1,27.6,35.2,39.5,26.4,32.7,1.9,13,0,0,0,28.4,316.5,6.2,297.4,25.9,10,Clear
2012-09-03,6.78,1878.67,35.85,7.2,8.66,0,16.17,224.92,41.9,27.8,34.4,38.4,26.5,32,0.6,12.2,0,0,0,26.6,305.6,20.4,260.9,22.4,8,Partially cloudy
2012-09-04,6.8,2267.73,33.72,7.09,9.5,0,12.59,193.03,40.5,23.8,31.3,37,23.8,29.8,2.3,18.4,0,0,0,33.5,298.3,0,311.8,26.9,10,Clear
2012-09-05,6.82,2688.2,30.27,7.19,12.88,0,15.49,169.58,37.5,20.1,27.9,34.3,20.1,26.7,1.4,24.5,0,0,0,27.7,284.6,8.3,326.9,28.2,10,Clear
2012-09-06,6.83,2603.5,28.22,6.04,17.25,0,10.3,131.68,35.8,17.7,26.5,32.9,17.7,25.4,0.9,26.4,0,0,0,33.8,280.5,0.2,320.5,27.5,10,Clear
2012-09-07,6.8,2516.37,29.28,5.87,14.01,0,12.07,151.86,37.1,21.5,29.2,34.2,21.5,27.7,0.1,15.9,0,0,0,29.2,221.1,6.8,306.7,26.4,10,Clear
2012-09-08,6.79,2420.67,31.16,7.31,20.27,0,22.96,211.22,38.2,23.1,29.9,35.7,23.1,28.8,5.5,22.3,0,0,0,31.3,280.2,22.3,297.9,25.8,10,Partially cloudy
2012-09-09,6.81,2555.55,30.58,8.37,18.41,0,20.46,229.61,37.4,21.4,28.4,34.5,21.4,27.2,4.6,25.2,0,0,0,29.9,310.9,19.5,306.6,26.4,10,Clear
2012-09-10,6.84,2612.14,29.5,7.69,12.04,0,17.13,198.05,36.6,17.7,25.7,33.7,17.7,24.7,6,35.2,0,0,0,40.7,314.3,2.3,310.5,26.8,10,Clear
2012-09-11,6.83,2529.53,30.28,6.34,18.52,0,12.16,166.36,37.7,19.2,27.7,34.7,19.2,26.5,5.8,31,0,0,0,30.2,276.4,20.1,301.7,26,10,Partially cloudy
2012-09-12,6.83,2498.27,29.7,5.83,22.81,0,14.19,154.45,39,19.9,28.9,35.6,19.9,27.6,4.8,27.9,0,0,0,33.8,281,0.3,309.8,26.8,10,Clear
2012-09-13,6.82,2464.33,33.13,7.18,18.64,0,13.3,184.75,39.9,22.3,30.3,36.6,22.3,28.9,6.9,28,0,0,0,34.6,242,0.8,302.4,26.2,10,Clear
2012-09-14,6.81,2392.84,33.84,6.83,16.72,0,12.2,163.9,40.3,24.4,32,37,24.4,30.2,3.2,18.3,0,0,0,30.6,208,2.6,294.5,25.3,10,Clear
2012-09-15,6.81,2306.93,33.18,5.92,16.58,0,11.03,164.37,39.5,24.3,31.6,36.4,24.3,29.9,3.3,18.1,0,0,0,20.5,129.1,2.9,282,24.5,9,Clear
2012-09-16,6.82,2311.34,32.52,5.73,15.16,0,11.22,161.12,39.7,23.9,31.2,36.5,23.9,29.5,2.7,18.7,0,0,0,18,153.6,0,278.9,24.2,9,Clear
2012-09-17,6.82,2325.39,32.24,5.63,13.89,0,11.03,122.76,39.7,22.7,30.6,36.4,22.7,29,-0.2,14.7,0,0,0,21.2,122.6,0,272.7,23.6,9,Clear
2012-09-18,6.81,2252.83,32.26,5.51,14.37,0,12.93,167.46,39,22.3,30.4,35.7,22.3,28.9,0.2,15.6,0,0,0,18,235.2,64,268.3,23.2,9,Partially cloudy
2012-09-19,6.8,2268.21,33.04,7.35,13.81,0,18.16,193.62,39.9,22.8,30.6,36.7,22.8,29.2,5.3,23.5,0,0,0,29.9,305.4,12.3,278.7,24.1,9,Clear
2012-09-20,6.81,2388.62,31.12,7.15,17.28,0,16.27,161.19,37.5,21.2,28.7,34.8,21.2,27.6,6.9,29.2,0,0,0,30.2,283.7,62.3,256.5,22.2,9,Partially cloudy
2012-09-21,6.82,2324.71,30.68,5.33,18.34,0,8.74,146.12,38.6,21.4,29.5,35.5,21.4,28.1,3.3,22,0,0,0,31.3,286.2,1.5,285.1,24.8,9,Clear
2012-09-22,6.78,2300.37,32.07,5.66,13.21,0,14.64,160.6,39,25,31.1,35.9,25,29.5,1.8,16.4,0,0,0,17.6,262.7,1.5,277.6,24,9,Clear
2012-09-23,6.74,912.35,29,3.18,25.28,0.2,20.52,191.16,37.3,24.6,29.5,34.8,24.6,28.6,6.6,27.9,29.8,100,50,15.8,221.6,75.7,186.4,16,7,"Rain, Partially cloudy"
2012-09-24,6.82,604.02,21.9,1.42,81.2,8.4,16.23,208.14,27.3,21,23.8,27.6,21,23.9,17.1,67.1,12.1,100,79.17,18.7,129.6,82.5,131.1,11.2,5,"Rain, Partially cloudy"
2012-09-25,6.89,2268.91,25.93,4.64,63.32,0,9.3,167.12,33.2,20.1,25.5,32.6,20.1,25.4,16.2,60.2,4.7,100,29.17,31.3,297.8,34,269,23.4,9,"Rain, Partially cloudy"
2012-09-26,6.89,2216.98,26.99,6.55,42.88,0,24.43,221.63,31.1,18,23.5,29.6,18,23.1,12.5,53.4,0.6,100,25,34.9,309.8,3.4,280.6,24,9,Rain
2012-09-27,6.91,2018.14,24.86,5.43,41.01,0,27.55,207.54,29.3,16.1,22.2,28.2,16.1,22,12.7,59.1,2,100,75,38.2,281.5,14.6,276.2,23.9,9,Rain
2012-09-28,6.96,2390.79,21.34,6.01,38.31,0,22.1,227.34,25.1,14.5,19,25.1,14.5,19,9.4,56.9,1.4,100,41.67,36.4,306.3,1.8,280,24.1,9,Rain
2012-09-29,6.95,2301.6,21.84,5.76,37.42,0,15.11,232.21,28.8,12.6,19.7,27.3,12.6,19.4,8.3,53.2,0,0,0,29.9,321,0.9,276.8,23.8,9,Clear
2012-09-30,6.92,2233.77,24.77,5.31,30.99,0,12.81,181.36,29.3,15,21.9,27.7,15,21.5,8,44.9,0,0,0,25.2,165.3,0.2,264.4,23.8,9,Clear
2012-10-01,6.89,2191.39,26.29,5.3,26.17,0,13.45,157.42,31,15.9,23.5,29,15.9,23,6.4,36.5,0,0,0,17.3,139.1,0,272.7,23.6,9,Clear
2012-10-02,6.88,2173.47,26.44,4.77,19.95,0,13.7,154.17,32.1,16.5,24.7,29.9,16.5,24,5.3,31.4,0,0,0,19.1,111.5,1.7,272.2,23.7,9,Clear
2012-10-03,6.89,2111.35,25.84,4.7,18.62,0,11.64,137.28,31.2,16.7,23.9,29.2,16.7,23.4,6.9,35.2,0,0,0,22,152,93,234.3,20.3,8,Overcast
2012-10-04,6.88,1824.34,26.06,4.13,22.92,0,10.33,131.16,30.2,19.1,23.2,28.5,19.1,22.9,8.9,42.1,0,0,0,22.3,188.5,68.8,222.9,19.3,9,Partially cloudy
2012-10-05,6.84,1748.96,27.04,4.56,34.77,0,18.15,160.93,32.6,18.6,24.9,31.1,18.6,24.6,13.2,50.7,0,0,0,18.4,129.3,56.4,216.8,18.8,8,Partially cloudy
2012-10-06,6.84,1867.31,25.55,4.17,48.42,2.3,13.36,171.92,31.8,19.8,26,30.6,19.8,25.7,13.4,47.7,0,0,0,14,132,55.5,212.5,18.3,8,Partially cloudy
2012-10-07,6.87,1906.36,25.81,3.83,46.91,0,7.61,146.62,32.7,19.9,26.5,30.8,19.9,26,11.7,41.9,0,0,0,11.9,147.2,5.9,240.5,20.8,8,Clear
2012-10-08,6.83,1989.23,28.87,5.4,27.2,0,12.39,162.93,34.5,20.1,26.6,32.1,20.1,25.8,8.6,35.2,0,0,0,16.6,58.1,16,247.6,21.3,9,Clear
2012-10-09,6.81,1775.51,27.94,4.25,24.65,0.3,14.9,136.76,31.2,19.3,25.4,29.3,19.3,24.7,8.2,35,0,0,0,21.6,134.5,47.8,167.7,14.6,6,Partially cloudy
2012-10-10,6.81,1794.06,28.93,5.87,26.15,0,23.79,223.36,33.9,20.9,26.9,31.9,20.9,26.2,9.8,35.9,0,0,0,18.7,272.1,46.5,210.2,18.2,8,Partially cloudy
2012-10-11,6.84,1839.05,29.55,6.09,21.65,0,15.38,215.28,34.3,20,26.4,32,20,25.7,8.8,35.4,0,0,0,25.2,210.1,56.4,226.7,19.6,8,Partially cloudy
2012-10-12,6.84,1896.14,28.77,6.53,20,0,16.73,228.48,32.4,18.5,24.4,30.2,18.5,23.8,8.8,41.2,0,0,0,29.9,317.9,49.4,189.2,16.4,8,Partially cloudy
2012-10-13,6.86,1941.85,26.95,5.73,25.46,0,17.26,195,32.4,17.8,23.7,30.1,17.8,23,7.8,41.1,0,0,0,30.2,286.7,46.2,248.3,21.6,9,Partially cloudy
2012-10-14,6.87,1902.11,26.75,5.86,29.54,0,22.58,202.4,31.9,16.5,23,29.7,16.5,22.4,5.9,36.5,0,0,0,34.2,275.1,31,243.3,21.2,9,Partially cloudy
2012-10-15,6.88,1900.58,25.93,4.84,29.59,0,18.6,187.72,31.7,15.7,23.2,29.5,15.7,22.7,6.8,38.6,0,0,0,28.4,177,54.6,246.7,21.3,9,Partially cloudy
2012-10-16,6.88,1858.42,26.46,4.64,22.4,0,12.99,114.16,31.7,16.6,23.4,29.5,16.6,22.8,4.9,32.4,0,0,0,24.5,83.4,33.6,239.8,20.7,8,Partially cloudy
2012-10-17,6.88,1240.35,25.02,3.41,20.61,0,12.3,132.12,30.1,16.6,22.6,28.2,16.6,22.2,4.8,33.3,0,0,0,19.8,132.7,88.6,194.4,16.9,8,Partially cloudy
2012-10-18,6.9,1731.1,23.51,3.8,34.86,0,10.97,115.31,28.3,15.4,21.1,27.2,15.4,21,9.8,51.5,0.5,100,20.83,25.2,264.6,34.9,236.3,20.5,8,"Rain, Partially cloudy"
2012-10-19,6.9,1326.93,20.28,4.56,37.66,0.1,19.23,232.88,23.4,13.1,17.7,23.4,13.1,17.7,7,54.5,1.4,100,41.67,29.2,299,51.8,182.8,16,8,"Rain, Partially cloudy"
2012-10-20,6.94,1822.9,18.98,5.16,33.34,0,19.28,228.12,25.2,10.5,16.9,25.2,10.5,16.9,3.6,46.8,0,0,0,27.4,327.2,46.1,239.1,20.6,8,Partially cloudy
2012-10-21,6.94,1859.09,20.97,4.47,28.89,0,13.64,162.37,25.8,10.7,17.5,25.8,10.7,17.5,1.7,37.1,0,0,0,23.8,78.4,23.6,232.3,19.9,8,Partially cloudy
2012-10-22,6.9,1816.85,20.64,3.49,27.41,0,6.15,144.83,26.6,10.7,19,26.6,10.7,19,1.4,33.6,0,0,0,17.6,105,54.1,236.3,20.6,8,Partially cloudy
2012-10-23,6.85,1574.36,23.48,3.52,40.65,0.2,11.23,159.91,25.6,15.6,19.6,25.6,15.6,19.6,7,45,1.3,100,37.5,14,126.3,50.4,158.6,13.6,7,"Rain, Partially cloudy"
2012-10-24,6.89,1324.62,23.26,2.73,55.54,3.9,10.35,173.23,27.8,15.6,21.6,27.4,15.6,21.6,12.7,58.4,0.8,100,20.83,23.4,241.6,71.9,155.4,13.3,6,"Rain, Partially cloudy"
2012-10-25,6.87,1662.37,23.5,4.39,51.31,0,17.35,179.76,29.6,16.7,22,27.9,16.7,21.7,10.2,51.8,0,0,0,29.2,291.2,66.6,205.1,17.7,7,Partially cloudy
2012-10-26,6.89,1644.84,22.2,4.48,43.72,0,16.85,224.84,26.9,13.9,19.4,26.5,13.9,19.4,11,61,1.4,100,58.33,32.8,301,50.1,219.7,19,8,"Rain, Partially cloudy"
2012-10-27,6.91,1385.53,21.74,4.54,40.96,0,21.05,223.96,24.8,13.8,18.7,24.8,13.8,18.7,10.7,62.7,0.8,100,33.33,34.9,315.8,55.8,165,14.3,6,"Rain, Partially cloudy"
2012-10-28,6.92,1394.32,21.33,3.55,32.93,0,18.95,195.38,28.6,12.9,19.5,27,12.9,19.2,5.3,47.1,0,0,0,24.8,320.3,55.5,216.3,18.7,8,Partially cloudy
2012-10-29,6.88,499.07,18.95,1.48,53.39,3.3,15.44,218.83,27.7,15.8,20.4,27,15.8,20.3,9.8,52.6,3.4,100,62.5,25.6,274,67.4,192.8,16.5,7,"Rain, Partially cloudy"
2012-10-30,6.91,688.74,19.47,1.78,67.41,0,20.07,193.23,22.4,15.6,18.6,22.4,15.6,18.6,13.1,71.8,12.9,100,100,34.6,273.7,89.7,83.3,7.2,3,"Rain, Partially cloudy"
2012-10-31,6.85,718.65,23.46,2.15,52.23,0,12.86,191.01,25.3,17.2,20.6,25.3,17.2,20.6,14.2,68.8,13.6,100,100,39.6,271.7,79.1,153.2,13.2,5,"Rain, Partially cloudy"
2012-11-01,6.88,1688.24,24.11,4.97,45.86,0,19.09,221.72,27.6,16,21,27.4,16,21,14.1,67.1,2.6,100,58.33,33.1,300.7,28.5,193.3,16.7,7,"Rain, Partially cloudy"
2012-11-02,6.88,1452.31,24.1,3.7,46.47,0,19.39,190.73,32,16.9,22.9,30.5,16.9,22.5,12.4,55.4,0,0,0,28.1,318.4,59.2,202.7,17.6,7,Partially cloudy
2012-11-03,6.85,1561.69,25.02,4.05,41.97,0,19.96,192.25,31.6,17.7,23.7,30.2,17.7,23.4,11.9,50.1,0,0,0,29.5,332.5,65,198.6,17,7,Partially cloudy
